19:35:09 | 04/12/2025 | INFO | test1
19:35:09 | 04/12/2025 | INFO | test2
19:35:09 | 04/12/2025 | WARNING | test3
19:35:09 | 04/12/2025 | KRYTYCZNE | test4
19:45:39 | 04/12/2025 | INFO | test1
19:45:39 | 04/12/2025 | INFO | test2
19:45:39 | 04/12/2025 | WARNING | test3
19:45:39 | 04/12/2025 | KRYTYCZNE | test4
19:46:29 | 04/12/2025 | INFO | test1
19:46:29 | 04/12/2025 | INFO | test2
19:46:29 | 04/12/2025 | WARNING | test3
19:46:29 | 04/12/2025 | KRYTYCZNE | test4
19:46:45 | 04/12/2025 | INFO | test1
19:46:45 | 04/12/2025 | INFO | test2
19:46:45 | 04/12/2025 | WARNING | test3
19:46:45 | 04/12/2025 | KRYTYCZNE | test4
19:47:10 | 04/12/2025 | INFO | test1
19:47:10 | 04/12/2025 | INFO | test2
19:47:10 | 04/12/2025 | WARNING | test3
19:47:10 | 04/12/2025 | KRYTYCZNE | test4
19:47:23 | 04/12/2025 | INFO | test1
19:47:23 | 04/12/2025 | INFO | test2
19:47:23 | 04/12/2025 | WARNING | test3
19:47:23 | 04/12/2025 | KRYTYCZNE | test4
19:52:36 | 04/12/2025 | INFO | test1
19:52:36 | 04/12/2025 | INFO | test2
19:52:36 | 04/12/2025 | WARNING | test3
19:52:36 | 04/12/2025 | KRYTYCZNE | test4
19:57:29 | 04/12/2025 | INFO | test1
19:57:29 | 04/12/2025 | INFO | test2
19:57:29 | 04/12/2025 | WARNING | test3
19:57:29 | 04/12/2025 | KRYTYCZNE | test4
20:17:22 | 04/12/2025 | INFO | test1
20:17:22 | 04/12/2025 | INFO | test2
20:17:22 | 04/12/2025 | WARNING | test3
20:17:22 | 04/12/2025 | KRYTYCZNE | test4
00:01:01 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 0
00:00:57 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 0
00:00:57 | 07/12/2025 | INFO | Zakonczono podlewanie po: 59.0 sekundach i 0.0 ml wylanej wody
00:01:27 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 0
00:01:27 | 07/12/2025 | INFO | Zakonczono podlewanie po: 59.0 sekundach i 0.0 ml wylanej wody
00:01:36 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 0
00:01:36 | 07/12/2025 | INFO | Zakonczono podlewanie po: 59.0 sekundach i 0.0 ml wylanej wody
00:01:23 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 0
21:01:54 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 1
21:01:14 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 1
21:01:14 | 07/12/2025 | HARDWARE | aktywuje pin - 11
21:17:14 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 2
21:17:14 | 07/12/2025 | INFO | Zakonczono podlewanie po: 1020.0 sekundach i 400015.0 ml wylanej wody
21:17:14 | 07/12/2025 | HARDWARE | deaktywuje pin - 11
21:17:14 | 07/12/2025 | HARDWARE | aktywuje pin - 23
21:38:14 | 07/12/2025 | INFO | Zakonczono podlewanie po: 1260.0 sekundach i 524930.0 ml wylanej wody
21:38:14 | 07/12/2025 | HARDWARE | deaktywuje pin - 23
00:01:14 | 08/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 0
00:01:14 | 08/12/2025 | HARDWARE | aktywuje pin - 25
01:31:14 | 08/12/2025 | INFO | Zakonczono podlewanie po: 5460.0 sekundach i 2250185.0 ml wylanej wody
01:31:14 | 08/12/2025 | HARDWARE | deaktywuje pin - 25
02:01:14 | 08/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 3
